Etablissement,Siret,# adhérent,Conférence,UAI,Acronyme,Type de structure,Statut,Nom de marque,Type de formation,Commentaire,Campus
"Institut d'enseignement
  supérieur et de recherche en alimentation, santé animale, sciences
  agronomiques et de l'environnement",13000858400018,928,"CGE, CDEFI",0690193K,VetAgro Sup,EPSCP # Grand établissement,Public,,Ingénieur,,
"Université de
  Technologie de Troyes",19101060200032,861 ; 57,"CGE, CDEFI, FU",0101060Y,UTT,EPSCP,Public,,Ingénieur,,
"Université de
  Technologie de Compiègne",19601223100169,859 ; 49,"CGE, CDEFI, FU",0601223D,UTC,EPSCP,Public,,Ingénieur,,
"Université de
  Technologie Belfort-Montbéliard",19900356700013,858 ; 24,"CGE, CDEFI, FU",0900424X,UTBM,EPSCP,Public,,Ingénieur,,
"Université Paul Sabatier, sciences,
  ingénierie et technologie",19311384200614, ,CDEFI,,UPSSITECH,,,,,,
"Université
  Paris Dauphine - PSL",19971585500011,886 ; 18,"CGE, FU",0750736T,Université Paris Dauphine - PSL,Grand établissement,Public,,Autre spécialité,,
Université des Antilles,19971585500011, ,CDEFI,,Université des Antilles,,,,,,
"Institut
  Polytechnique UniLaSalle",78050719000012,910,"CGE, CDEFI",0600071B,UniLaSalle,Association loi 1901 # EESPIG,Privé,,Ingénieur,,Amiens ; Rennes ; Rouen
"Ecole
  nationale supérieure des ingénieurs en arts chimiques et technologiques",19311381800143,706,"CGE, CDEFI",0312589W,Toulouse INP - ENSIACET,,Public,,Ingénieur,,
"Ecole
  nationale supérieure d'électrotechnique, d'électronique, d'informatique,
  d'hydraulique et des télécommunications",19311381800127,699 ; 12,"CGE, CDEFI, FU",0310120M,Toulouse INP - ENSEEIHT,,Public,,Ingénieur,,
"Ecole
  nationale de la météorologie",18006003000400,678,CGE,0312069F,Toulouse INP - ENM,EPA,Public,,Ingénieur,,
"Ecole
  d'ingénieurs de Purpan",77694414200012,654,CGE,0310154Z,Toulouse INP - EI Purpan,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
"Ecole
  Nationale Supérieure Agronomique de Toulouse",19311381800127,688,"CGE, CDEFI",0310105W,Toulouse INP - AGROTOULOUSE,Public,,Ingénieur,,,
"Télécom
  SudParis",18009202500055,850,"CGE, CDEFI",0911781S,Télécom SudParis,EPSCP,Public,Télécom SudParis,Ingénieur,,
Télécom Saint-Étienne,93850168100069, ,CDEFI,,Télécom Saint-Étienne,,,,,,
"Télécom
  Physique Strasbourg",13000545700010,716 ; 69,"CGE, CDEFI, FU",0672380Y,Télécom Physique Strasbourg,Public,,Ingénieur,,,
TELECOM Paris,18009202500162,849,"CGE, CDEFI",0912407X,TELECOM Paris,EPA,Public,,Ingénieur,,
Télécom Nancy,39259811600029, ,CDEFI,,Télécom Nancy,,,,,,
"Toulouse
  Business School",81751739400018,744,CGE,0310156B,TBS Education,SAESC,EESC,TBS Education,Manager,,
"Institut
  Supérieur des Biotechnologies de Paris",89805695700019,971,CGE,0942193Y,SupBiotech,SA # Société à mission,Privé,SupBiotech,Ingénieur,,
École d'ingénieurs énergies renouvelables,19660437500010,20,"CDEFI, FU",,Sup'EnR,,,,,Universite de Perpignan ,
"Institut supérieur des biotechnologies de
  Paris",47962295300012, ,CDEFI,,Sup'Biotech,,,,,,
"SKEMA Business
  School",78370584100022,840,CGE,0590346F,SKEMA,Association loi 1901 # EESPIG,Privé,SKEMA Business School,Manager,,
SIGMA Clermont,13002191800045,906,"CGE, CDEFI",0632086A ,SIGMA Clermont,Autre (Ecole interne d'une école),Public,,Ingénieur,,
École d'ingénieurs de l'université de Toulon,19830766200157, ,CDEFI,,SeaTech,,,,,,
"Institut
  d'Etudes Politiques de Toulouse",19311386700025,936,CGE,0310133B,Sciences Po Toulouse,EPA,Public,Sciences Po Toulouse,Autre spécialité,,
