action_de_formation_af_identifiant_onisep,formation_for_libelle,for_url_et_id_onisep,for_indexation_domaine_web_onisep,for_type,for_nature_du_certificat,for_url_referentiel,for_niveau_de_sortie,lieu_denseignement_ens_libelle,ens_url_et_id_onisep,ens_code_uai,ens_statut,ens_adresse,ens_code_postal,ens_commune,ens_departement,ens_academie,ens_region,ens_latitude,ens_longitude,ens_n_telephone,ens_site_web,ens_hebergement,ens_accessibilite,af_duree_cycle_standard,af_modalites_scolarite,af_elements_denseignement,af_cout_scolarite,af_modalites_accueil,af_page_web,af_date_de_creation,af_date_de_modification
AF.69395,classe de 1re générale,https://www.onisep.fr/http/redirection/formation/slug/FOR.2255,"lettres, langues, enseignement/formations généralistes",classe de 1re générale,Diplôme national ou diplôme d'État,https://eduscol.education.fr/634/cycle-terminal-de-la-voie-generale,1re,Lycée privé polyvalent Saint-Joseph,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13362,0341523W,privé sous contrat,"11 avenue Marx Dormoy, BP 77",34202,Sète,Hérault,Montpellier,Occitanie,43.4035,3.69314,04 67 53 69 10,http://www.saintjoseph-sete.fr/,sans hébergement,Locaux accessibles,1 an,"temps plein, cours en présentiel",,,,,06/06/2020,06/06/2020
AF.53940,CAP accompagnant éducatif petite enfance,https://www.onisep.fr/http/redirection/formation/slug/FOR.6821,"santé, social, sport/travail social",CAP,Diplôme national ou diplôme d'État,https://eduscol.education.fr/referentiels-professionnels/CAP_AEPE.html,CAP ou équivalent,Lycée professionnel de Vue Belle,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1027,9740015Y,public,"Chemin Vue belle, BP 105",97422,Saint-Paul,La Réunion,La Réunion,La Réunion,-21.079258,55.271909,02 62 33 69 33,https://etab.ac-reunion.fr/lyc-vue-belle,internat (homme/femme),,2 ans,"temps plein, cours en présentiel",,,,,06/06/2020,06/06/2020
AF.30863,classe de 2de générale et technologique,https://www.onisep.fr/http/redirection/formation/slug/FOR.1152,"lettres, langues, enseignement/formations généralistes",classe de 2de générale et technologique,Diplôme national ou diplôme d'État,https://eduscol.education.fr/633/seconde-generale-et-technologique,seconde,Lycée des Flandres,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4441,0590101P,public,"2 avenue des Flandres, BP 69",59522,Hazebrouck,Nord,Lille,Hauts-de-France,50.7289,2.53232,03 28 43 76 76,https://lgt-des-flandres-hazebrouck.59.ac-lille.fr/,internat (homme/femme),,1 an,"temps plein, cours en présentiel",,,,,06/06/2020,06/06/2020
AF.135818,classe de 2de professionnelle métiers de la relation client,https://www.onisep.fr/http/redirection/formation/slug/FOR.3378,"commerce, marketing, vente/marketing, vente",classe de 2de professionnelle,Diplôme national ou diplôme d'État,https://eduscol.education.fr/document/1902/download,seconde,Lycée polyvalent Élie Castor,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9172,9730308X,public,"1 allée boulevard Bellony, BP 803",97388,Kourou,Guyane,Guyane,Guyane,5.1553588,-52.648001241511,0594 22 36 94,http://lp-elie-castor.eta.ac-guyane.fr,internat (homme/femme),,1 an,"temps plein, cours en présentiel",,,,,14/02/2025,14/02/2025
AF.10482,"classe de 2de professionnelle métiers de la gestion administrative, du transport et de la logistique",https://www.onisep.fr/http/redirection/formation/slug/FOR.4412,"gestion des entreprises, comptabilité/administration de l'entreprise| logistique, transport/logistique| gestion des entreprises, comptabilité/secrétariat| logistique, transport/transport",classe de 2de professionnelle,Diplôme national ou diplôme d'État,https://eduscol.education.gouv.fr/sites/default/files/document/vademecum-famille-des-metiers-de-la-gestion-administrative-du-transport-et-de-la-logistique-68013.pdf,seconde,Lycée professionnel Louis Lumière,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1769,0771171E,public,"4 rue Louis Lumière, BP 80",77504,Chelles,Seine-et-Marne,Créteil,Ile-de-France,48.8796,2.61228,01 60 93 12 10,http://www.lyceelouislumiere.fr,sans hébergement,,1 an,"temps plein, cours en présentiel",,,,,06/06/2020,06/06/2020
AF.40305,"classe de 2de professionnelle métiers de la gestion administrative, du transport et de la logistique",https://www.onisep.fr/http/redirection/formation/slug/FOR.4412,"gestion des entreprises, comptabilité/administration de l'entreprise| logistique, transport/logistique| gestion des entreprises, comptabilité/secrétariat| logistique, transport/transport",classe de 2de professionnelle,Diplôme national ou diplôme d'État,https://eduscol.education.gouv.fr/sites/default/files/document/vademecum-famille-des-metiers-de-la-gestion-administrative-du-transport-et-de-la-logistique-68013.pdf,seconde,Lycée professionnel Pierre Doriole,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2721,0170031S,public,"221 rue de Périgny, BP 90043",17078,La Rochelle,Charente-Maritime,Poitiers,Nouvelle-Aquitaine,46.162623039386,-1.1258196203423,05 46 27 00 51,https://lycee-doriole.fr,internat (homme/femme),Locaux accessibles,1 an,"temps plein, cours en présentiel",,,,,06/06/2020,06/06/2020
AF.76216,bac techno ST2S sciences et technologies de la santé et du social,https://www.onisep.fr/http/redirection/formation/slug/FOR.2418,"santé, social, sport/paramédical| santé, social, sport/travail social",baccalauréat technologique,Diplôme national ou diplôme d'État,https://eduscol.education.fr/641/horaires-de-la-serie-sciences-et-technologies-de-la-sante-et-du-social-st2s,bac ou équivalent,Lycée Les 7 Mares,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6089,0780515L,public,"13 rue de la Beauce, BP 50207",78310,Maurepas,Yvelines,Versailles,Ile-de-France,48.7676,1.94522,01 30 13 98 98,https://lyc-7mares-maurepas.ac-versailles.fr/,sans hébergement,,1 an,"temps plein, cours en présentiel",,,,,06/06/2020,06/06/2020
AF.95911,classe de 2de professionnelle métiers de la maintenance des matériels et des véhicules,https://www.onisep.fr/http/redirection/formation/slug/FOR.6813,"mécanique/automobile| matières premières, fabrication, industries/maintenance, qualité",classe de 2de professionnelle,Diplôme national ou diplôme d'État,https://sti.eduscol.education.fr/sti/sites/eduscol.education.fr.sti/files/textes/bac-pro/seconde-professionnelle-metiers-de-la-maintenance-des-materiels-et-des-vehicules-mmv/17076-13289-vademecum-fm-mmv.pdf,seconde,Lycée polyvalent Jean Baylet,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18112,0820899G,public,"20 avenue du Maréchal Leclerc de Hauteclocque, BP 74",82403,Valence d'Agen,Tarn-et-Garonne,Toulouse,Occitanie,44.1136,0.896525,05 63 29 68 30,https://jean-baylet.mon-ent-occitanie.fr,internat (homme/femme),,1 an,"temps plein, cours en présentiel",,,,,18/02/2021,18/02/2021
AF.40952,classe de 1re générale,https://www.onisep.fr/http/redirection/formation/slug/FOR.2255,"lettres, langues, enseignement/formations généralistes",classe de 1re générale,Diplôme national ou diplôme d'État,https://eduscol.education.fr/634/cycle-terminal-de-la-voie-generale,1re,Lycée de la Nature et du Vivant de Somme Vesle,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2061,0511196Y,public,Route départementale 3,51460,Somme-Vesle,Marne,Reims,Grand Est,49.0115,4.58683,03 26 68 66 00,https://eplefpachalonsenchampagne.fr/le-lycee,internat (homme/femme),,1 an,"temps plein, cours en présentiel",,,,,06/06/2020,06/06/2020
AF.9539,bac techno STMG sciences et technologies du management et de la gestion enseignement spécifique ressources humaines et communication,https://www.onisep.fr/http/redirection/formation/slug/FOR.3147,"gestion des entreprises, comptabilité/ressources humaines",baccalauréat technologique,Diplôme national ou diplôme d'État,https://eduscol.education.fr/646/horaires-de-la-serie-sciences-et-technologies-du-management-et-de-la-gestion-stmg,bac ou équivalent,Lycée Charles Despiau,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5127,0400018C,public,"637 avenue du Houga, BP 30273",40005,Mont-de-Marsan,Landes,Bordeaux,Nouvelle-Aquitaine,43.8822,-0.486765,05 58 05 82 82,https://www.lyceedespiau.fr,internat (homme/femme),Locaux accessibles : accessibilité totale pour handicap moteur,1 an,"temps plein, cours en présentiel",,,,,06/06/2020,06/06/2020
AF.52003,classe de 1re générale,https://www.onisep.fr/http/redirection/formation/slug/FOR.2255,"lettres, langues, enseignement/formations généralistes",classe de 1re générale,Diplôme national ou diplôme d'État,https://eduscol.education.fr/634/cycle-terminal-de-la-voie-generale,1re,Lycée Tristan Corbière,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10101,0290051Y,public,"16 rue de Kerveguen, BP 17149",29671,Morlaix,Finistère,Rennes,Bretagne,48.56903485,-3.8211320065153,02 98 88 62 77,http://www.lyceetristancorbiere.fr,internat (homme/femme),,1 an,"temps plein, cours en présentiel",,,,,06/06/2020,13/05/2026
AF.31008,diplôme d'État de technicien de l'intervention sociale et familiale,https://www.onisep.fr/http/redirection/formation/slug/FOR.11003,"santé, social, sport/travail social",diplôme d'État du travail social,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/39680/,bac ou équivalent,Institut régional du travail social Normandie-Caen,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3688,0142081L,privé,"2 rue du campus, BP 10116",14204,Hérouville-Saint-Clair,Calvados,Normandie,Normandie,49.2031,-0.347489,02 31 54 42 00,http://www.irtsnormandiecaen.fr/,sans hébergement,"Locaux accessibles : accessibilité totale pour handicap moteur, ascenseur",2 ans,"temps plein, cours en présentiel",,780 euros en 2026 (390 euros par an),,https://www.irtsnormandiecaen.fr/formations/technicien-de-lintervention-sociale-et-familiale-tisf/#inscription,06/06/2020,08/12/2025
AF.61764,CAP monteur en installations sanitaires,https://www.onisep.fr/http/redirection/formation/slug/FOR.1534,"environnement, énergies, propreté/énergies| construction, architecture, travaux publics/équipement technique",CAP,Diplôme national ou diplôme d'État,http://eduscol.education.fr/referentiels-professionnels/cap_mis.html,CAP ou équivalent,Lycée privé la Châtaigneraie,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3285,0761343X,privé sous contrat,2 rue Charles Schérer,76240,Le Mesnil-Esnard,Seine-Maritime,Normandie,Normandie,49.4145,1.14711,02 32 86 53 00,http://www.la-chataigneraie.org/,"internat (homme/femme - pour le secondaire : 88 places garçons et 7 places filles. Sinon pour les garçons en BTS, dans la mesure des places disponibles)",Locaux accessibles,1 an,"temps plein, cours en présentiel",,,,,06/06/2020,18/09/2024
