code_nsf,code_scolarite,sigle_type_formation,libelle_type_formation,libelle_formation_principal,sigle_formation,duree,niveau_de_sortie_indicatif,code_rncp,niveau_de_certification,libelle_niveau_de_certification,tutelle,url_et_id_onisep,domainesous-domaine,date_creation,date_de_modification
323,,,formation d'école spécialisée,bachelor photographie et images animées (Condé),,3 ans,bac + 3,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.7680,"information-communication, audiovisuel/audiovisuel",25/05/2022,05/05/2026
332,46033206,,diplôme d'État du travail social,diplôme d'État de technicien de l'intervention sociale et familiale,DETISF,2 ans,bac ou équivalent,39680,4,niveau 4,Ministère des Solidarités et de la Santé,https://www.onisep.fr/http/redirection/formation/slug/FOR.11003,"santé, social, sport/travail social",27/01/2025,11/06/2026
312,16531212,,diplôme d'école de commerce visé de niveau bac + 4 ou 5,diplôme du programme grande école de SKEMA BS,,3 ans,bac + 5,41054,1,niveau 7,Chambre de commerce et d'industrie,https://www.onisep.fr/http/redirection/formation/slug/FOR.11746,"commerce, marketing, vente/achat, approvisionnement | gestion des entreprises, comptabilité/administration de l'entreprise | commerce, marketing, vente/commerce international | commerce, marketing, vente/marketing, vente | gestion des entreprises, comptabilité/ressources humaines",30/07/2025,20/10/2025
315,,,formation d'école spécialisée,psychologue du travail (CNAM),,5 ans,bac + 5,37813,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.12214,"histoire-géographie, psychologie, sociologie/psychologie",25/11/2025,26/11/2025
335,44633506,BPJEPS,"brevet professionnel de la jeunesse, de l'éducation populaire et du sport",BPJEPS spécialité éducateur sportif mention multi-activités physiques ou sportives pour tous,MAPST,1 an,bac ou équivalent,40480,4,niveau 4,Ministère chargé des sports,https://www.onisep.fr/http/redirection/formation/slug/FOR.11073,"santé, social, sport/sport",03/02/2025,23/04/2026
100,47010018,,classe de 2de générale et technologique,classe de 2de générale et technologique,,1 an,seconde,,0,non inscrit au RNCP,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.1152,"lettres, langues, enseignement/formations généralistes",06/06/2020,04/06/2026
330,40033006,,baccalauréat professionnel,bac pro animation-enfance et personnes âgées,AEPA,3 ans,bac ou équivalent,41187,4,niveau 4,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.2568,"santé, social, sport/travail social",06/06/2020,03/06/2026
334,40033404,,classe de 2de professionnelle,classe de 2de professionnelle métiers de l'hôtellerie-restauration,,1 an,seconde,,0,non inscrit au RNCP,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.2627,"hôtellerie-restauration, tourisme/hôtellerie | hôtellerie-restauration, tourisme/restauration",06/06/2020,02/06/2026
220,,mastère spé.,mastère spécialisé,mastère spé. industrie des ressources minérales et société (Mines Paris-PSL - Mines Nancy - ENSG Géologie),,1 an,bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3745,"matières premières, fabrication, industries/matériaux | matières premières, fabrication, industries/mines et carrières | sciences/sciences de la Terre",06/06/2020,17/06/2024
,,CPI,cycle préparatoire intégré,cycle préparatoire intégré IMT Nord Europe,IMT Nord Europe,2 ans,bac + 2,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9037,"environnement, énergies, propreté/énergies | environnement, énergies, propreté/environnement (généralités) | construction, architecture, travaux publics/génie civil | matières premières, fabrication, industries/génie industriel | matières premières, fabrication, industries/matériaux | information-communication, audiovisuel/multimédia | information-communication, audiovisuel/technologies de l'information",30/06/2023,02/10/2025
