code_uai,n_siret,type_detablissement,nom,sigle,statut,tutelle,universite_de_rattachement_libelle_et_uai,universite_de_rattachement_id_et_url_onisep,etablissements_lies_libelles,etablissements_lies_url_et_id_onisep,boite_postale,adresse,cp,commune,commune_cog,cedex,telephone,arrondissement,departement,academie,region,region_cog,longitude_x,latitude_y,journees_portes_ouvertes,url_et_id_onisep,date_creation,date_de_modification
0753472S,19753472000010,école d'ingénieurs,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Paris,ENSAM,public,Ministère de l'Enseignement supérieur et de la Recherche,,,CFA AMTalents à Paris (75) | École nationale supérieure d'arts et métiers - campus Arts et Métiers d'Aix-en-Provence à Aix-en-Provence (13) | École nationale supérieure d'arts et métiers - campus Arts et Métiers d'Angers à Angers (49) | École nationale supérieure d'arts et métiers - campus Arts et Métiers de Bordeaux Talence à Talence (33) | École nationale supérieure d'arts et métiers - campus Arts et Métiers de Châlons-en-Champagne à Châlons-en-Champagne (51) | École nationale supérieure d'arts et métiers - campus Arts et Métiers de Chalon-sur-Saône à Chalon-sur-Saône (71) | École nationale supérieure d'arts et métiers - campus Arts et Métiers de Chambéry à Le Bourget-du-Lac (73) | École nationale supérieure d'arts et métiers - campus Arts et Métiers de Cluny à Cluny (71) | École nationale supérieure d'arts et métiers - campus Arts et Métiers de Lille à Lille (59) | École nationale supérieure d'arts et métiers - campus Arts et Métiers de Metz à Metz (57) | École nationale supérieure d'arts et métiers - campus Arts et Métiers de Saint-Étienne - ISTP à Saint-Etienne (42),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24013 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14586 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10147 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12533 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15927 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17949 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19656 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9048 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3544 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19356 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24012,,151 boulevard de l'Hôpital,75013,Paris,75100,Cedex,01 44 24 62 76,13,75 - Paris,Paris,Ile-de-France,11,2.35751,48.8337,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1967,06/06/2020,28/04/2026
0753742K,19753742600011,autre établissement d'enseignement,École des hautes études en sciences sociales,EHESS,public,Ministère de l'Enseignement supérieur et de la Recherche,,,,,,54 boulevard Raspail,75006,Paris,75100,Cedex,01 49 54 25 25,06,75 - Paris,Paris,Ile-de-France,11,2.32703,48.8504,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7774,06/06/2020,28/11/2025
0597139P,19590349700012,autre établissement d'enseignement,Centrale Lille Institut,,public,Ministère de l'Enseignement supérieur et de la Recherche,,,École Centrale de Lille à Villeneuve-d'Ascq (59) | ENSCL - École Nationale Supérieure de Chimie de Lille à Villeneuve-d'Ascq (59) | IG2I - Institut de Génie Informatique et Industriel à Lens (62) | ITEEM à Villeneuve-d'Ascq (59),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.862 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1059 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3722 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6682,CS 20048,Cité scientifique,59651,Villeneuve-d'Ascq,59009,,03 20 33 53 53,,59 - Nord,Lille,Hauts-de-France,32,3.1427818,50.6068423,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22977,21/10/2022,02/07/2025
0134017W,13001533200013,unité de formation et de recherche,"Faculté des arts, lettres, langues et sciences humaines - Site Schuman - Aix-en-Provence",ALLSH,public,Ministère de l'Enseignement supérieur et de la Recherche,Aix-Marseille Université (0134009M),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.643,"Faculté des arts, lettres, langues, sciences humaines - antenne d'Arles à Arles (13)",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12060,,29 avenue Robert Schuman,13621,Aix-en-Provence,13001,Cedex 01,04 42 95 37 52,,13 - Bouches-du-Rhône,Aix-Marseille,Provence-Alpes-Côte d'Azur,93,5.44692,43.5155,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19132,06/06/2020,17/02/2026
0311256X,19311256200015,école d'ingénieurs,École nationale de l'aviation civile - campus de Toulouse,ENAC,public,Ministère chargé de la transition écologique et de l'aménagement du territoire,,,École nationale de l'aviation civile - campus de Montpellier à Mauguio (34),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16526,CS 54005,7 avenue Édouard Belin,31055,Toulouse,31555,Cedex 04,05 62 17 40 00,04,31 - Haute-Garonne,Toulouse,Occitanie,76,1.48171,43.5644,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16881,06/06/2020,22/05/2026
0910685A,77568501900561,école d'ingénieurs,Institut national des sciences et techniques nucléaires,INSTN,public,Ministère de l'Enseignement supérieur et de la Recherche,,,,,,CEA-Saclay,91191,Gif-sur-Yvette,91272,Cedex,01 69 08 81 41,,91 - Essonne,Versailles,Ile-de-France,11,2.1346414089203,48.69656927694,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11922,06/06/2020,08/09/2025
0171638N,19170032700015,unité de formation et de recherche,Institut littoral urbain durable intelligent,ILUDI,public,Ministère de l'Enseignement supérieur et de la Recherche,La Rochelle Université (0171463Y),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.359,,,,Avenue Michel Crépeau,17000,La Rochelle,17300,,05 46 45 91 14,,17 - Charente-Maritime,Poitiers,Nouvelle-Aquitaine,75,-1.1574752090604,46.142561504469,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18450,06/06/2020,28/11/2025
0590338X,19590338000010,école d'ingénieurs,École nationale supérieure des arts et industries textiles,ENSAIT,public,Ministère de l'Enseignement supérieur et de la Recherche,Université de Lille (0597239Y),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.366,,,BP 30329,2 allée Louise et Victor Champier,59056,Roubaix,59512,Cedex 01,03 20 25 64 64,,59 - Nord,Lille,Hauts-de-France,32,3.16823,50.6948,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19740,06/06/2020,27/05/2026
0597132G,13002574500014,unité de formation et de recherche,"INSA Hauts-de-France - campus du Mont Houy, UPHF",INSA HDF,public,Ministère de l'Enseignement supérieur et de la Recherche,Université polytechnique Hauts-de-France (0597132G),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19,"INSA Hauts-de-France - campus de Maubeuge, UPHF à Maubeuge (59) | Institut national des sciences appliquées Hauts-de-France à Valenciennes (59)",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5579 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1206,,Campus du Mont Houy,59313,Valenciennes,59606,Cedex 09,03 27 51 12 00,,59 - Nord,Lille,Hauts-de-France,32,3.5141876,50.323203,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7791,06/06/2020,04/05/2026
0420093Y,19690187000028,école d'ingénieurs,Centrale Lyon ENISE (École nationale d'ingénieurs de Saint-Étienne de l'École centrale de Lyon),,public,Ministère de l'Enseignement supérieur et de la Recherche,,,École centrale de Lyon à Ecully (69),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19296,,58 rue Jean Parot,42023,Saint-Etienne,42218,Cedex 02,04 77 43 84 84,,42 - Loire,Lyon,Auvergne-Rhône-Alpes,84,4.414272,45.433756,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9532,06/06/2020,27/05/2026
