code_uai,n_siret,type_detablissement,nom,sigle,statut,tutelle,universite_de_rattachement_libelle_et_uai,universite_de_rattachement_id_et_url_onisep,etablissements_lies_libelles,etablissements_lies_url_et_id_onisep,boite_postale,adresse,cp,commune,commune_cog,cedex,telephone,arrondissement,departement,academie,region,region_cog,longitude_x,latitude_y,journees_portes_ouvertes,langues_enseignees,url_et_id_onisep,date_creation,date_de_modification
0341523W,77609026800025,"lycée général, technologique ou polyvalent",Lycée privé polyvalent Saint-Joseph,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,,,BP 77,11 avenue Marx Dormoy,34202,Sète,34301,Cedex,04 67 53 69 10,,Hérault,Montpellier,Occitanie,76,3.69314,43.4035,,"Allemand, Anglais, Chinois, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13362,06/06/2020,05/03/2025
9740015Y,19974983900015,lycée professionnel,Lycée professionnel de Vue Belle,,public,Ministère chargé de l'Éducation nationale,,,,,BP 105,Chemin Vue belle,97422,Saint-Paul,97415,,02 62 33 69 33,,La Réunion,La Réunion,La Réunion,04,55.271909,-21.079258,,"Anglais, Créole, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1027,06/06/2020,09/01/2026
0590101P,19590101200011,"lycée général, technologique ou polyvalent",Lycée des Flandres,,public,Ministère chargé de l'Éducation nationale,,,Collège des Flandres à Hazebrouck (59) | Lycée professionnel des Monts de Flandre à Hazebrouck (59),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11513 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11836,BP 69,2 avenue des Flandres,59522,Hazebrouck,59295,Cedex,03 28 43 76 76,,Nord,Lille,Hauts-de-France,32,2.53232,50.7289,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Néerlandais",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4441,06/06/2020,03/03/2025
9730308X,19973261100033,"lycée général, technologique ou polyvalent",Lycée polyvalent Élie Castor,,public,Ministère chargé de l'Éducation nationale,,,,,BP 803,1 allée boulevard Bellony,97388,Kourou,97304,,0594 22 36 94,,Guyane,Guyane,Guyane,03,-52.648001241511,5.1553588,,"Anglais, Créole, Espagnol, Portugais",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9172,06/06/2020,05/03/2026
0771171E,19771171600013,lycée professionnel,Lycée professionnel Louis Lumière,,public,Ministère chargé de l'Éducation nationale,,,,,BP 80,4 rue Louis Lumière,77504,Chelles,77108,Cedex,01 60 93 12 10,,Seine-et-Marne,Créteil,Ile-de-France,11,2.61228,48.8796,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1769,06/06/2020,03/02/2025
0170031S,19170031900012,lycée professionnel,Lycée professionnel Pierre Doriole,,public,Ministère chargé de l'Éducation nationale,,,Greta Poitou-Charentes - Institut de formation d'aides-soignants du Val de Charente à La Rochelle (17),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15833,BP 90043,221 rue de Périgny,17078,La Rochelle,17300,Cedex 09,05 46 27 00 51,,Charente-Maritime,Poitiers,Nouvelle-Aquitaine,75,-1.1258196203423,46.162623039386,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2721,06/06/2020,21/11/2025
0780515L,19780515300016,"lycée général, technologique ou polyvalent",Lycée Les 7 Mares,,public,Ministère chargé de l'Éducation nationale,,,,,BP 50207,13 rue de la Beauce,78310,Maurepas,78383,Cedex,01 30 13 98 98,,Yvelines,Versailles,Ile-de-France,11,1.94522,48.7676,,"Allemand, Anglais, Arabe, Espagnol, Japonais, Langues et cultures de l'Antiquité : latin, Russe",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6089,06/06/2020,22/07/2024
0820899G,20001766300010,"lycée général, technologique ou polyvalent",Lycée polyvalent Jean Baylet,,public,Ministère chargé de l'Éducation nationale,,,,,BP 74,20 avenue du Maréchal Leclerc de Hauteclocque,82403,Valence d'Agen,82186,Cedex,05 63 29 68 30,,Tarn-et-Garonne,Toulouse,Occitanie,76,0.896525,44.1136,,"Allemand, Anglais, Espagnol, Italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18112,06/06/2020,06/03/2026
0511196Y,19511196800010,lycée agricole,Lycée de la Nature et du Vivant de Somme Vesle,,public,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,,,,Route départementale 3,51460,Somme-Vesle,51548,,03 26 68 66 00,,Marne,Reims,Grand Est,44,4.58683,49.0115,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2061,06/06/2020,23/02/2026
0400018C,19400018800012,"lycée général, technologique ou polyvalent",Lycée Charles Despiau,,public,Ministère chargé de l'Éducation nationale,,,,,BP 30273,637 avenue du Houga,40005,Mont-de-Marsan,40192,Cedex,05 58 05 82 82,,Landes,Bordeaux,Nouvelle-Aquitaine,75,-0.486765,43.8822,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5127,06/06/2020,03/11/2025
