onisep_id,name
6,Université Jean Moulin - Lyon 3
9,Université Paris Dauphine-PSL
10,Université Paris Nanterre
16,Université de Brest
19,Université polytechnique Hauts-de-France
31,Université Rennes 2
34,Université de Rennes
35,Université Versailles Saint-Quentin-en-Yvelines
37,Université Toulouse Capitole
41,Université de Pau et des Pays de l'Adour
49,Nîmes Université
50,Université Paris 8 - Vincennes Saint-Denis
53,Université Jean Monnet Saint-Étienne
61,Université de Toulouse
71,Toulouse INP
79,Université Sorbonne Nouvelle
81,Université de Rouen Normandie
84,Université Paris-Panthéon-Assas
85,Institut national des langues et civilisations orientales
93,Université Picardie Jules Verne
101,Université de Corse
106,Nantes université
107,Université de Montpellier Paul-Valéry
113,Université Toulouse - Jean Jaurès
117,Université Gustave Eiffel
148,Université Paris-Est Créteil Val de Marne
155,Université Lumière - Lyon 2
161,Université Paris Cité
167,Université Savoie Mont Blanc
176,Institut National Universitaire Jean-François Champollion
177,Université Marie et Louis Pasteur
181,Université Paris 1 - Panthéon-Sorbonne
182,Université de Limoges
185,Université de Toulon
192,Université de Poitiers
213,Université d'Orléans
215,Université de Nouvelle Calédonie
220,Université Sorbonne Paris Nord
223,Conservatoire national des arts et métiers
224,Université de la Polynésie française
226,Université Côte d'Azur
233,Université de Caen Normandie
236,Université d'Artois
257,Université Paris-Saclay
259,Université Évry Paris Saclay
266,Université de La Réunion
272,Université Bourgogne Europe
276,Institut polytechnique de Paris - établissement expérimental
302,Université Bordeaux Montaigne
303,Université des Antilles
324,Le Mans université
325,Université d'Angers
341,Université de Perpignan Via Domitia
348,Université Le Havre Normandie
359,La Rochelle Université
366,Université de Lille
370,Université du Littoral Côte d'Opale
374,Avignon Université
376,Université de Bretagne Sud
378,Université de Reims Champagne-Ardenne
380,Université Claude Bernard - Lyon 1
403,Centre universitaire de formation et de recherche de Mayotte
412,Institut Polytechnique de Bordeaux
417,Université de Guyane
477,Université de Montpellier
490,Université Grenoble Alpes
527,Université Clermont Auvergne
643,Aix-Marseille Université
645,Université de Lorraine
656,Sorbonne Université
687,Institut catholique de Vendée
724,Université de Bordeaux
729,Université PSL
916,"École internationale du papier, de la communication imprimée et des biomatériaux - Grenoble INP-UGA"
935,Centre de formation des psychologues de l'Éducation Nationale
1164,École nationale supérieure de police
1206,Institut national des sciences appliquées Hauts-de-France
1258,École supérieure des agricultures - campus d'Angers
1434,EFREI Paris - campus de Villejuif
1459,École nationale supérieure des industries chimiques
1493,Isep - École d'ingénieurs du numérique - site de Paris
1546,Isep - École d'ingénieurs du numérique - site Issy-les-Moulineaux
1554,Service formation continue et alternance Université Rennes 2
1586,École nationale supérieure de formation de l'enseignement agricole
1609,Institut national du patrimoine (département des restaurateurs)
1612,Écoles militaires de santé de Lyon Bron
1722,Géodata Paris (ex ENSG-Géomatique)
1728,École nationale supérieure d'ingénieurs du Mans
1749,ESCP Business School
1778,École nationale supérieure d'architecture de Nancy
1813,École normale supérieure Paris-Saclay
1820,Institut de formation en masso-kinésithérapie
1829,Institut Français de la Mode
1843,Institut national du patrimoine (département des conservateurs)
1857,École des hautes études en santé publique
1868,École supérieure de physique et de chimie industrielles de la ville de Paris
1917,École nationale supérieure d'architecture de Paris Belleville
1920,École Estienne
1942,Institut supérieur de l'aéronautique et de l'espace
1958,Conservatoire national des arts et métiers Hauts-de-France - centre d'Amiens
1967,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Paris
1971,Lycée polyvalent ESAA - École Boulle
2015,École nationale supérieure Mines-Télécom Nord Europe - campus de Lille
2097,ICN Business School
2227,École spéciale militaire de Saint-Cyr
2229,CESI - campus d'Aix-en-Provence
2260,École nationale supérieure des Arts Décoratifs - PSL
2427,École nationale supérieure des mines de Paris - Campus de Paris
2429,CFA Gobelins l'école de l'image - Campus Paris Saint-Marcel
2540,Département Afrique et Océan Indien
